rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,18882,Cooper Kupp,LAR,WR,145,1947,16,96.5,94.0,8.3,1590,93.5,11,191,38,11,7.8,31.7,2.3
2,21685,Justin Jefferson,MIN,WR,108,1616,10,97.0,89.0,11.9,1996,117.4,18,167,23,15,7.4,29.9,2.0
3,16470,Davante Adams,GB,WR,123,1553,11,86.2,80.3,9.0,1520,95.0,12,169,28,11,7.3,31.6,2.0
4,22564,Ja'Marr Chase,CIN,WR,81,1455,13,96.6,86.1,12.0,1532,90.1,19,128,12,12,7.3,23.7,2.4
5,20932,Deebo Samuel Sr.,SF,WR,77,1405,6,89.7,81.4,8.1,971,60.7,13,120,10,6,7.1,27.8,2.8
6,18082,Tyreek Hill,KC,WR,111,1239,9,79.5,73.2,10.7,1709,100.5,15,159,24,11,7.8,25.1,1.9
7,16906,Stefon Diggs,BUF,WR,103,1225,10,86.7,82.7,11.1,1828,107.5,18,164,34,23,7.3,26.4,1.7
8,16830,Tyler Lockett,SEA,WR,73,1175,8,98.3,87.9,13.6,1459,91.2,20,107,7,6,7.3,24.0,2.2
9,21077,Diontae Johnson,PIT,WR,107,1161,8,98.2,91.0,8.2,1390,86.9,13,169,23,7,7.6,28.5,1.6
10,19844,DJ Moore,CAR,WR,93,1157,4,95.5,87.2,10.1,1632,96.0,18,162,13,8,6.5,28.4,1.5
11,18914,Mike Williams,LAC,WR,76,1146,9,85.0,81.0,10.7,1376,86.0,18,129,23,13,7.0,20.8,1.9
12,15076,Keenan Allen,LAC,WR,106,1138,6,91.7,88.1,8.9,1404,87.8,13,157,25,8,7.5,25.1,1.6
13,18880,Chris Godwin,TB,WR,98,1103,5,87.1,86.2,7.0,898,64.1,9,128,26,8,7.8,21.3,1.9
14,21679,CeeDee Lamb,DAL,WR,79,1102,6,81.0,77.3,9.3,1123,70.2,14,120,11,6,7.3,20.4,1.9
15,21690,Tee Higgins,CIN,WR,74,1091,6,94.3,79.0,11.8,1300,92.8,18,110,13,10,7.6,23.9,2.0
16,21744,Michael Pittman Jr.,IND,WR,88,1082,6,98.1,87.7,8.8,1129,66.4,13,129,17,8,7.2,25.7,1.8
17,21961,Darnell Mooney,CHI,WR,81,1055,4,94.6,87.8,10.6,1479,87.0,18,140,11,8,6.6,26.7,1.6
18,20873,Terry McLaurin,WAS,WR,77,1053,5,93.3,90.1,12.6,1656,97.4,22,131,9,10,6.8,24.5,1.6
19,20924,Hunter Renfrow,LV,WR,103,1038,9,79.5,66.0,6.6,851,50.0,8,128,24,11,8.3,21.7,2.0
20,16568,Brandin Cooks,HOU,WR,90,1037,6,93.1,84.0,10.7,1428,89.2,16,133,9,5,7.2,26.9,1.7
21,16597,Mike Evans,TB,WR,74,1035,14,84.0,83.0,12.9,1454,90.9,20,113,19,13,7.0,16.4,2.3
22,22598,Jaylen Waddle,MIA,WR,104,1015,6,92.2,84.2,6.3,895,55.9,9,142,15,3,8.0,24.8,1.7
23,21045,Marquise Brown,BAL,WR,91,1008,6,90.4,80.1,10.5,1518,94.9,17,145,16,11,7.0,26.7,1.6
24,19815,Christian Kirk,ARI,WR,77,982,5,83.0,73.6,11.2,1158,68.1,15,103,10,8,7.8,18.1,2.0
25,20875,DK Metcalf,SEA,WR,75,967,12,92.9,83.4,12.4,1605,94.4,21,129,19,11,7.3,27.3,1.9
26,21687,DeVonta Smith,PHI,WR,64,916,5,86.0,82.8,14.4,1487,87.5,23,103,8,11,7.0,22.1,1.8
27,22587,Amon-Ra St. Brown,DET,WR,90,912,5,81.5,74.5,6.8,806,47.4,9,119,14,4,7.5,21.4,1.9
28,21042,A.J. Brown,TEN,WR,63,869,5,79.5,70.0,10.9,1150,88.5,18,105,10,9,7.5,27.0,1.7
29,20876,Jakobi Meyers,NE,WR,83,867,2,91.0,82.7,9.6,1211,71.2,15,126,13,4,7.2,24.4,1.5
30,16765,Amari Cooper,DAL,WR,68,865,8,81.9,77.9,11.5,1185,79.0,17,103,19,9,7.3,18.8,2.0
31,21752,Chase Claypool,PIT,WR,59,860,2,84.5,80.2,11.4,1203,80.2,20,105,13,8,7.1,18.6,1.6
32,17986,Tyler Boyd,CIN,WR,67,828,5,94.7,78.1,7.3,690,43.1,10,94,7,4,7.4,18.4,1.9
33,21747,Brandon Aiyuk,SF,WR,56,826,5,85.4,83.6,9.5,806,47.4,14,85,10,10,7.4,18.5,2.0
34,21739,Van Jefferson,LAR,WR,50,802,6,85.3,81.1,13.3,1182,69.5,24,89,16,9,7.0,14.8,1.9
35,19318,Kendrick Bourne,NE,WR,55,800,5,70.5,52.8,8.3,585,34.4,11,70,7,3,7.9,13.5,2.6
