rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
1,21685,Justin Jefferson,MIN,WR,184,128,1809,8,4.1,1.9,88.9,26,13,0.5,14.1,9.8,2.8,7.0,3.8
2,16470,Davante Adams,LV,WR,180,100,1516,14,3.9,1.8,76.9,44,14,0.3,15.2,8.4,2.6,9.0,5.0
3,18082,Tyreek Hill,MIA,WR,170,119,1710,7,4.9,1.9,158.7,31,15,0.5,14.4,10.1,3.4,7.0,4.1
4,21679,CeeDee Lamb,DAL,WR,156,107,1359,9,4.3,1.8,88.4,27,10,0.4,12.7,8.7,2.6,3.0,1.9
5,16906,Stefon Diggs,BUF,WR,155,110,1455,11,4.0,2.0,91.7,18,7,0.4,13.2,9.4,2.9,8.0,5.2
6,21077,Diontae Johnson,PIT,WR,147,86,882,0,4.0,1.8,68.8,29,9,0.3,10.2,6.0,1.6,9.0,6.1
7,23122,Garrett Wilson,NYJ,WR,147,83,1103,4,4.8,1.7,88.3,33,15,0.5,13.3,7.5,2.0,5.0,3.4
8,22587,Amon-Ra St. Brown,DET,WR,146,106,1161,6,4.8,1.6,93.0,12,4,0.3,10.9,8.0,2.6,5.0,3.4
9,21042,A.J. Brown,PHI,WR,146,88,1496,11,5.0,1.7,79.3,39,16,0.4,17.0,10.2,3.0,5.0,3.4
10,18880,Chris Godwin,TB,WR,142,104,1023,3,4.5,1.4,85.2,18,10,0.6,9.8,7.2,1.8,3.0,2.1
11,21744,Michael Pittman Jr.,IND,WR,141,99,925,4,5.1,1.5,82.5,23,12,0.5,9.3,6.6,1.6,7.0,5.0
12,20875,DK Metcalf,SEA,WR,141,90,1048,6,5.0,1.4,76.9,43,19,0.4,11.6,7.4,1.9,9.0,6.4
13,21687,DeVonta Smith,PHI,WR,136,95,1196,7,5.3,1.7,77.2,32,11,0.3,12.6,8.8,2.3,6.0,4.4
14,22564,Ja'Marr Chase,CIN,WR,134,87,1046,9,4.1,1.4,81.3,34,14,0.4,12.0,7.8,2.2,10.0,7.5
15,19815,Christian Kirk,JAX,WR,133,84,1108,8,5.2,1.8,84.8,28,6,0.2,13.2,8.3,2.1,8.0,6.0
16,16765,Amari Cooper,CLE,WR,132,78,1160,9,4.5,1.7,75.7,34,15,0.4,14.9,8.8,2.3,9.0,6.8
17,16597,Mike Evans,TB,WR,128,77,1124,6,4.6,1.4,81.0,34,21,0.6,14.6,8.8,1.9,7.0,5.5
18,18926,Zay Jones,JAX,WR,121,82,823,5,5.2,2.1,91.1,24,10,0.4,10.0,6.8,1.7,9.0,7.4
19,20873,Terry McLaurin,WAS,WR,120,77,1191,5,4.8,1.6,88.5,30,15,0.5,15.5,9.9,2.2,3.0,2.5
20,22565,Chris Olave,NO,WR,119,72,1042,4,5.5,1.5,80.0,22,8,0.4,14.5,8.8,2.6,5.0,4.2
21,19844,DJ Moore,CAR,WR,118,63,888,7,5.0,1.6,82.9,28,9,0.3,14.1,7.5,2.0,3.0,2.5
22,23151,Drake London,ATL,WR,117,72,866,4,5.5,1.5,77.4,29,9,0.3,12.0,7.4,2.4,5.0,4.3
23,16830,Tyler Lockett,SEA,WR,117,84,1033,9,5.5,2.2,92.3,10,2,0.2,12.3,8.8,2.1,3.0,2.6
24,22598,Jaylen Waddle,MIA,WR,116,75,1356,8,4.8,2.1,150.0,26,6,0.2,18.1,11.7,2.8,4.0,3.4
25,21747,Brandon Aiyuk,SF,WR,113,78,1015,8,5.2,2.3,81.2,22,9,0.4,13.0,9.0,2.1,8.0,7.1
26,21690,Tee Higgins,CIN,WR,111,75,1042,7,4.4,1.7,97.4,25,13,0.5,13.9,9.4,2.1,6.0,5.4
27,19800,Courtland Sutton,DEN,WR,109,64,829,2,4.5,1.6,81.0,28,10,0.4,12.9,7.6,1.6,5.0,4.6
28,15534,Adam Thielen,MIN,WR,107,70,716,6,4.3,1.8,87.5,18,4,0.2,10.2,6.7,1.1,2.0,1.9
29,22613,Joshua Palmer,LAC,WR,107,72,769,3,4.6,2.2,84.7,18,9,0.5,10.7,7.2,1.3,5.0,4.7
30,21045,Marquise Brown,ARI,WR,107,67,709,3,5.2,1.9,88.2,17,7,0.4,10.6,6.6,1.6,5.0,4.7
31,18883,JuJu Smith-Schuster,KC,WR,101,78,933,3,4.2,1.9,84.8,16,6,0.4,12.0,9.2,2.0,3.0,3.0
32,20145,Allen Lazard,GB,WR,100,60,788,6,4.6,1.8,93.8,19,9,0.5,13.1,7.9,1.8,5.0,5.0
33,21692,Jerry Jeudy,DEN,WR,100,67,972,6,4.7,1.5,83.8,4,0,0.0,14.5,9.7,2.3,5.0,5.0
34,18882,Cooper Kupp,LAR,WR,98,75,812,6,4.3,2.1,87.2,17,6,0.4,10.8,8.3,2.6,1.0,1.0
35,21754,Donovan Peoples-Jones,CLE,WR,96,61,839,3,4.7,1.9,80.3,28,13,0.5,13.8,8.7,1.7,6.0,6.2
36,14986,DeAndre Hopkins,ARI,WR,96,64,717,3,5.7,1.8,81.0,13,6,0.5,11.2,7.5,2.2,5.0,5.2
37,20876,Jakobi Meyers,NE,WR,95,67,803,6,4.6,2.0,83.8,18,8,0.4,12.0,8.4,2.2,2.0,2.1
38,20932,Deebo Samuel Sr.,SF,WR,95,56,632,2,4.2,1.6,75.7,19,5,0.3,11.3,6.7,1.9,6.0,6.3
39,18914,Mike Williams,LAC,WR,93,63,895,4,4.5,1.9,86.3,29,17,0.6,14.2,9.6,2.0,2.0,2.1
40,16568,Brandin Cooks,HOU,WR,93,57,699,3,5.0,1.8,89.1,15,9,0.6,12.3,7.5,1.8,5.0,5.4
41,19023,Mack Hollins,LV,WR,93,57,690,4,5.1,2.2,76.0,19,5,0.3,12.1,7.4,1.2,5.0,5.4
42,21735,Gabe Davis,BUF,WR,92,48,836,7,4.2,2.0,70.6,20,6,0.3,17.4,9.1,1.7,8.0,8.7
43,18928,Curtis Samuel,WAS,WR,92,64,656,4,4.7,1.9,87.7,16,8,0.5,10.2,7.1,1.4,4.0,4.3
44,21005,Parris Campbell,IND,WR,92,63,623,3,4.5,1.6,82.9,6,3,0.5,9.9,6.8,1.1,3.0,3.3
45,14871,Robert Woods,TEN,WR,90,53,527,2,5.3,1.6,79.1,19,7,0.4,9.9,5.8,1.3,6.0,6.7
46,21714,K.J. Osborn,MIN,WR,90,60,650,5,4.5,1.9,85.7,8,3,0.4,10.8,7.2,1.2,7.0,7.8
47,15076,Keenan Allen,LAC,WR,89,66,752,4,4.8,2.2,91.7,15,5,0.3,11.4,8.4,2.4,1.0,1.1
48,23153,George Pickens,PIT,WR,85,52,801,4,4.5,1.4,75.4,28,16,0.6,15.4,9.4,1.5,4.0,4.7
49,17986,Tyler Boyd,CIN,WR,83,59,776,6,4.1,1.7,101.7,12,5,0.4,13.2,9.3,1.5,1.0,1.2
50,19976,Marquez Valdes-Scantling,KC,WR,81,42,687,2,4.5,2.0,68.8,14,5,0.4,16.4,8.5,1.4,6.0,7.4
51,21752,Chase Claypool,CHI,WR,79,46,451,1,4.3,1.4,78.0,25,9,0.4,9.8,5.7,1.2,2.0,2.5
52,23232,Alec Pierce,IND,WR,77,41,593,2,5.1,1.3,70.7,21,8,0.4,14.5,7.7,1.4,2.0,2.6
53,18047,Demarcus Robinson,BAL,WR,75,48,458,2,5.2,1.6,82.8,8,5,0.6,9.5,6.1,1.4,4.0,5.3
54,18030,Chris Moore,HOU,WR,75,48,548,2,4.5,1.8,85.7,19,9,0.5,11.4,7.3,1.4,4.0,5.3
55,19867,Michael Gallup,DAL,WR,74,39,424,4,4.9,1.3,79.6,25,8,0.3,10.9,5.7,1.1,3.0,4.0
56,19080,Noah Brown,DAL,WR,73,43,555,3,5.1,1.6,82.7,24,7,0.3,12.9,7.6,1.3,3.0,4.1
57,20943,Darius Slayton,NYG,WR,71,46,724,2,5.6,1.9,73.0,13,5,0.4,15.7,10.2,2.1,8.0,11.3
58,20077,Richie James,NYG,WR,71,57,569,4,5.2,1.9,95.0,5,3,0.6,10.0,8.0,1.9,1.0,1.4
59,20006,Russell Gage,TB,WR,70,51,426,5,5.1,1.6,86.4,6,3,0.5,8.3,6.1,1.2,6.0,8.6
60,23167,Romeo Doubs,GB,WR,67,42,425,3,5.2,1.7,87.5,13,6,0.5,10.1,6.3,1.5,6.0,8.9
61,19043,Isaiah McKenzie,BUF,WR,67,42,423,4,4.0,2.1,84.0,6,1,0.2,10.1,6.3,1.2,6.0,8.9
62,22592,Elijah Moore,NYJ,WR,66,37,446,1,4.7,2.1,102.8,4,1,0.2,12.1,6.8,0.9,1.0,1.5
63,21756,Nico Collins,HOU,WR,66,37,481,2,4.7,1.7,112.1,15,10,0.7,13.0,7.3,1.8,1.0,1.5
64,23395,Christian Watson,GB,WR,65,41,611,7,5.0,1.5,102.5,15,8,0.5,14.9,9.4,2.4,2.0,3.1
65,17218,DeAndre Carter,LAC,WR,65,46,538,3,4.4,2.0,83.6,11,7,0.6,11.7,8.3,1.2,2.0,3.1
66,18422,Kalif Raymond,DET,WR,64,47,616,0,5.2,1.8,100.0,5,3,0.6,13.1,9.6,2.0,0.0,0.0
67,21071,Greg Dortch,ARI,WR,64,52,467,2,4.7,1.4,88.1,7,3,0.4,9.0,7.3,1.5,1.0,1.6
68,21961,Darnell Mooney,CHI,WR,61,40,493,2,5.0,1.7,102.6,11,6,0.5,12.3,8.1,2.2,1.0,1.6
69,22590,Ben Skowronek,LAR,WR,61,39,376,0,5.0,2.3,84.8,6,2,0.3,9.6,6.2,1.0,3.0,4.9
70,23155,Jahan Dotson,WAS,WR,61,35,523,7,5.1,1.9,81.4,16,8,0.5,14.9,8.6,1.5,6.0,9.8
71,21142,Olamide Zaccheaus,ATL,WR,61,40,533,3,5.2,2.1,85.1,6,3,0.5,13.3,8.7,1.8,1.0,1.6
72,19017,Josh Reynolds,DET,WR,59,38,479,3,5.2,2.1,84.4,6,3,0.5,12.6,8.1,1.3,3.0,5.1
73,22626,Rondale Moore,ARI,WR,56,41,414,1,5.0,2.1,83.7,8,4,0.5,10.1,7.4,1.7,5.0,8.9
74,21717,Jauan Jennings,SF,WR,56,35,416,1,5.1,2.4,81.4,7,3,0.4,11.9,7.4,1.5,5.0,8.9
75,23119,Treylon Burks,TEN,WR,54,33,444,1,5.1,1.8,76.7,12,6,0.5,13.4,8.2,1.9,4.0,7.4
76,16781,Nelson Agholor,NE,WR,53,31,362,2,4.8,2.2,83.8,7,3,0.4,11.7,6.8,1.4,2.0,3.8
77,20081,Trent Sherfield Sr.,MIA,WR,52,30,417,2,4.7,1.6,187.5,8,5,0.6,13.9,8.0,1.2,1.0,1.9
78,16263,Allen Robinson II,LAR,WR,52,33,339,3,4.5,1.4,80.5,15,7,0.5,10.3,6.5,1.1,2.0,3.8
79,19816,DJ Chark,DET,WR,52,30,502,3,4.6,1.3,69.8,13,6,0.5,16.7,9.7,1.6,4.0,7.7
80,13227,Randall Cobb,GB,WR,50,34,417,1,4.4,1.6,91.9,7,3,0.4,12.3,8.3,1.8,2.0,4.0
81,21734,Nick Westbrook-Ikhine,TEN,WR,50,25,397,3,4.8,1.3,75.8,19,5,0.3,15.9,7.9,1.1,2.0,4.0
82,20924,Hunter Renfrow,LV,WR,50,36,330,2,3.9,2.2,83.7,10,4,0.4,9.2,6.6,1.2,1.0,2.0
83,21957,Quez Watkins,PHI,WR,50,33,354,3,4.7,1.8,86.8,11,0,0.0,10.7,7.1,1.0,0.0,0.0
84,21721,Devin Duvernay,BAL,WR,49,37,407,3,5.6,1.2,92.5,6,5,0.8,11.0,8.3,1.3,1.0,2.0
85,19318,Kendrick Bourne,NE,WR,48,35,434,1,5.5,2.4,87.5,6,3,0.5,12.4,9.0,1.6,4.0,8.3
86,21760,Isaiah Hodgins,NYG,WR,47,37,392,4,5.7,1.9,90.2,12,7,0.6,10.6,8.3,1.8,0.0,0.0
87,16775,DeVante Parker,NE,WR,47,31,539,3,4.1,1.1,77.5,15,7,0.5,17.4,11.5,1.9,2.0,4.2
88,22685,Terrace Marshall Jr.,CAR,WR,47,28,490,1,5.0,1.5,63.6,19,6,0.3,17.5,10.4,1.8,5.0,10.6
89,23469,Tyquan Thornton,NE,WR,45,22,247,2,5.0,1.6,73.3,6,0,0.0,11.2,5.5,0.9,4.0,8.9
90,21739,Van Jefferson,LAR,WR,45,24,369,3,5.0,1.6,77.4,9,3,0.3,15.4,8.2,1.4,3.0,6.7
91,18187,Robbie Chosen,ARI,WR,44,20,282,1,5.7,1.6,74.1,7,0,0.0,14.1,6.4,1.1,2.0,4.5
92,13291,Julio Jones,TB,WR,43,24,299,2,5.0,1.2,82.8,9,4,0.4,12.4,7.0,1.4,0.0,0.0
93,14865,Marquise Goodwin,SEA,WR,41,27,387,4,5.3,1.4,93.1,6,4,0.7,14.3,9.4,1.5,1.0,2.4
94,22609,Shi Smith,CAR,WR,41,22,296,2,4.8,1.9,71.0,7,1,0.1,13.4,7.2,1.0,2.0,4.9
95,19854,Dante Pettis,CHI,WR,41,19,245,3,5.2,2.1,59.4,9,2,0.2,12.9,6.0,1.1,7.0,17.1
96,21138,Scotty Miller,TB,WR,40,23,185,0,5.6,1.5,76.7,6,3,0.5,8.0,4.6,1.1,3.0,7.5
97,16790,Phillip Dorsett,HOU,WR,40,20,257,1,5.3,1.7,87.0,12,4,0.3,12.8,6.4,1.0,3.0,7.5
98,20398,Equanimeous St. Brown,CHI,WR,38,21,323,1,5.6,2.1,72.4,5,0,0.0,15.4,8.5,1.5,2.0,5.3
99,22602,Tutu Atwell,LAR,WR,35,18,298,1,4.8,1.5,75.0,4,2,0.5,16.6,8.5,1.8,1.0,2.9
