rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,18882,Cooper Kupp,LAR,WR,17,0,0,0,18,0,145,1947,16,0,0,0,0,25.9,439.5
2,16470,Davante Adams,GB,WR,16,0,0,0,0,0,123,1553,11,0,0,0,0,21.5,344.3
3,20932,Deebo Samuel Sr.,SF,WR,16,24,1,0,365,8,77,1405,6,0,0,0,0,21.2,339.0
4,21685,Justin Jefferson,MIN,WR,17,35,0,0,14,0,108,1616,10,0,0,0,0,19.4,330.4
5,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,21,0,81,1455,13,0,0,0,0,17.9,304.6
6,18082,Tyreek Hill,KC,WR,17,0,0,0,96,0,111,1239,9,0,0,0,0,17.4,296.5
7,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,103,1225,10,0,0,0,0,16.8,285.5
8,21077,Diontae Johnson,PIT,WR,16,0,0,0,53,0,107,1161,8,0,0,0,0,17.1,274.4
9,16597,Mike Evans,TB,WR,16,0,0,0,10,0,74,1035,14,0,0,0,0,16.4,262.5
10,20924,Hunter Renfrow,LV,WR,17,0,0,0,3,0,103,1038,9,0,0,0,0,15.2,259.1
11,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,106,1138,6,0,0,0,0,16.1,257.8
12,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,76,1146,9,0,0,0,0,15.4,246.6
13,22598,Jaylen Waddle,MIA,WR,16,0,0,0,3,1,104,1015,6,0,0,0,0,15.4,245.8
14,20875,DK Metcalf,SEA,WR,17,0,0,0,6,0,75,967,12,0,0,0,0,14.4,244.3
15,18880,Chris Godwin,TB,WR,14,0,0,0,21,1,98,1103,5,0,0,0,0,17.3,242.4
16,16830,Tyler Lockett,SEA,WR,16,0,0,0,9,0,73,1175,8,0,0,0,0,15.1,241.4
17,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,44,0,88,1082,6,0,0,0,0,14.0,238.6
18,19844,DJ Moore,CAR,WR,17,0,0,0,48,0,93,1157,4,0,0,0,0,14.0,237.5
19,21679,CeeDee Lamb,DAL,WR,16,0,0,0,76,0,79,1102,6,0,0,0,0,14.6,232.8
20,16568,Brandin Cooks,HOU,WR,16,0,0,0,21,0,90,1037,6,0,0,0,0,14.5,231.8
21,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,61,1,90,912,5,0,0,0,0,13.4,227.3
22,21045,Marquise Brown,BAL,WR,16,0,0,0,5,0,91,1008,6,0,0,0,0,14.1,226.3
23,21961,Darnell Mooney,CHI,WR,17,0,0,0,32,1,81,1055,4,0,0,0,0,12.9,219.7
24,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,74,1091,6,0,0,0,0,15.7,219.1
25,20873,Terry McLaurin,WAS,WR,17,0,0,0,12,0,77,1053,5,0,0,0,0,12.6,213.5
26,19815,Christian Kirk,ARI,WR,17,33,0,0,11,0,77,982,5,0,0,0,0,12.2,207.6
27,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,68,865,8,0,0,0,0,13.5,202.5
28,15534,Adam Thielen,MIN,WR,13,0,0,0,2,0,67,726,10,0,0,0,0,15.4,199.8
29,20876,Jakobi Meyers,NE,WR,17,45,0,0,9,0,83,866,2,0,0,0,0,11.0,186.3
30,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,64,916,5,0,0,1,0,10.9,185.6
31,17986,Tyler Boyd,CIN,WR,16,46,0,0,22,0,67,828,5,0,0,0,0,11.5,183.8
32,21042,A.J. Brown,TEN,WR,13,0,0,0,10,0,63,869,5,0,0,0,0,13.9,180.9
33,19318,Kendrick Bourne,NE,WR,17,25,1,0,125,0,55,800,5,0,0,0,0,10.6,180.5
34,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,73,832,4,0,0,0,0,10.6,180.2
35,21747,Brandon Aiyuk,SF,WR,17,0,0,0,17,0,56,826,5,0,0,0,0,10.0,170.3
36,21739,Van Jefferson,LAR,WR,17,0,0,0,20,0,50,802,6,0,0,0,0,9.9,168.2
37,21752,Chase Claypool,PIT,WR,15,0,0,0,96,0,59,860,2,0,0,0,0,11.1,166.6
38,20006,Russell Gage,ATL,WR,14,0,0,0,0,0,66,770,4,0,0,0,0,11.6,163.0
39,14141,Cole Beasley,BUF,WR,16,0,0,0,0,0,82,693,1,0,0,0,0,10.0,159.3
40,21714,K.J. Osborn,MIN,WR,17,0,0,0,10,0,50,655,7,0,0,0,0,9.3,158.5
41,12845,A.J. Green,ARI,WR,16,0,0,0,0,0,54,848,3,0,0,0,0,9.8,156.8
42,19207,Tim Patrick,DEN,WR,16,0,0,0,0,0,53,734,5,0,0,0,0,9.8,156.4
43,21750,Marquez Callaway,NO,WR,17,0,0,0,0,0,46,698,6,0,0,0,0,8.9,151.8
44,19800,Courtland Sutton,DEN,WR,17,16,0,0,0,0,58,776,2,0,0,0,0,8.8,150.2
45,20013,Cedrick Wilson Jr.,DAL,WR,16,88,0,0,11,0,45,602,6,0,0,0,0,9.2,147.8
46,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,42,572,8,0,0,0,0,14.7,147.2
47,20145,Allen Lazard,GB,WR,15,0,0,0,32,0,40,513,8,0,0,0,0,9.5,142.5
48,20788,Mecole Hardman Jr.,KC,WR,17,0,0,0,46,0,59,693,2,0,0,0,0,8.3,140.9
