rank,id,player,team,pos,gp,redzone10_pass_yds,redzone10_pass_td,redzone10_pass_int,redzone10_rush_yds,redzone10_rush_td,redzone10_rec,redzone10_rec_yds,redzone10_rec_td,redzone10_fpts_ppr
1,21685,Justin Jefferson,MIN,WR,17,0,0,0,3,1,8,55,5,51.8
2,19815,Christian Kirk,JAX,WR,17,0,0,0,0,0,6,33,6,45.3
3,20006,Russell Gage,TB,WR,13,0,0,0,0,0,6,25,5,40.5
4,20788,Mecole Hardman Jr.,KC,WR,8,0,0,0,3,1,5,22,4,37.5
5,15534,Adam Thielen,MIN,WR,17,0,0,0,0,0,6,13,4,33.3
6,23155,Jahan Dotson,WAS,WR,12,0,0,0,0,0,4,22,4,32.2
7,21760,Isaiah Hodgins,NYG,WR,10,0,0,0,0,0,4,21,4,32.1
8,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,4,0,5,20,4,31.4
9,16906,Stefon Diggs,BUF,WR,16,0,0,0,0,0,5,21,4,31.1
10,16470,Davante Adams,LV,WR,17,0,0,0,0,0,5,18,4,30.8
11,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,7,1,3,19,3,29.6
12,18880,Chris Godwin,TB,WR,15,0,0,0,3,0,6,32,3,29.5
13,20876,Jakobi Meyers,NE,WR,14,0,0,0,0,0,4,13,3,25.3
14,19017,Josh Reynolds,DET,WR,14,0,0,0,0,0,5,22,3,25.2
15,21690,Tee Higgins,CIN,WR,16,0,0,0,0,0,3,19,3,24.9
16,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,5,18,3,24.8
17,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,5,15,3,24.5
18,19044,Jamal Agnew,JAX,WR,15,0,0,0,0,0,3,13,3,24.3
19,23151,Drake London,ATL,WR,17,0,0,0,0,0,3,13,3,24.3
20,21692,Jerry Jeudy,DEN,WR,15,0,0,0,0,0,4,21,3,24.1
21,16263,Allen Robinson II,LAR,WR,10,0,0,0,0,0,4,18,3,23.8
22,20077,Richie James,NYG,WR,17,0,0,0,0,0,4,18,3,23.8
23,21679,CeeDee Lamb,DAL,WR,17,0,0,0,0,0,4,17,3,23.7
24,18882,Cooper Kupp,LAR,WR,9,0,0,0,0,0,4,15,3,23.5
25,17960,Michael Thomas,NO,WR,3,0,0,0,0,0,3,19,3,22.9
26,22564,Ja'Marr Chase,CIN,WR,12,0,0,0,0,0,3,19,3,22.9
27,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,3,18,3,22.8
28,22598,Jaylen Waddle,MIA,WR,17,0,0,0,0,0,3,18,3,22.8
29,16765,Amari Cooper,CLE,WR,17,0,0,0,0,0,3,17,3,22.7
30,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,3,16,3,22.6
31,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,3,15,3,22.5
32,19844,DJ Moore,CAR,WR,17,0,0,0,0,0,3,15,3,22.5
33,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,3,12,3,22.2
34,18082,Tyreek Hill,MIA,WR,17,0,0,0,2,1,2,5,2,20.7
35,22614,Kadarius Toney,KC,WR,9,0,0,0,0,0,4,25,2,18.5
36,18928,Curtis Samuel,WAS,WR,17,0,0,0,10,1,4,12,1,18.2
37,20932,Deebo Samuel Sr.,SF,WR,13,0,0,0,11,1,3,16,1,17.7
38,17986,Tyler Boyd,CIN,WR,16,0,0,0,0,0,3,7,2,17.7
39,23395,Christian Watson,GB,WR,14,0,0,0,0,0,4,17,2,17.7
40,13870,Marvin Jones Jr.,JAX,WR,16,0,0,0,0,0,3,26,2,17.6
41,18926,Zay Jones,JAX,WR,16,0,0,0,0,0,4,14,2,17.4
42,22613,Joshua Palmer,LAC,WR,16,0,0,0,0,0,2,13,2,17.3
43,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,3,21,2,17.1
44,14871,Robert Woods,TEN,WR,17,0,0,0,0,0,3,20,2,17.0
45,19867,Michael Gallup,DAL,WR,14,0,0,0,0,0,3,19,2,16.9
46,21071,Greg Dortch,ARI,WR,16,0,0,0,3,0,3,15,2,16.8
47,19023,Mack Hollins,LV,WR,17,0,0,0,0,0,3,17,2,16.7
48,21005,Parris Campbell,IND,WR,17,0,0,0,0,0,3,16,2,16.6
49,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,3,15,2,16.5
50,19080,Noah Brown,DAL,WR,16,0,0,0,0,0,3,14,2,16.4
51,21754,Donovan Peoples-Jones,CLE,WR,17,0,0,0,0,0,3,9,2,15.9
52,15076,Keenan Allen,LAC,WR,10,0,0,0,0,0,3,9,2,15.9
53,23153,George Pickens,PIT,WR,17,0,0,0,1,1,1,7,1,15.8
54,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,2,13,2,15.3
55,21734,Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,2,11,2,15.1
56,21739,Van Jefferson,LAR,WR,11,0,0,0,0,0,2,10,2,15.0
57,23469,Tyquan Thornton,NE,WR,13,0,0,0,-1,0,2,9,2,14.8
58,16597,Mike Evans,TB,WR,15,0,0,0,0,0,2,6,2,14.6
59,21263,Trenton Irwin,CIN,WR,9,0,0,0,0,0,2,5,2,14.5
60,21752,Chase Claypool,CHI,WR,15,1,1,0,0,0,2,10,1,13.0
61,22565,Chris Olave,NO,WR,15,0,0,0,0,0,2,9,1,10.9
62,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,3,14,1,10.4
63,16020,Jarvis Landry,NO,WR,9,0,0,0,0,0,1,7,1,9.7
64,12845,A.J. Green,ARI,WR,15,0,0,0,0,0,1,6,1,9.6
65,21721,Devin Duvernay,BAL,WR,14,0,0,0,2,0,2,13,1,9.5
66,18879,Corey Davis,NYJ,WR,13,0,0,0,0,0,2,10,1,9.0
67,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,2,6,1,8.6
68,18883,JuJu Smith-Schuster,KC,WR,16,0,0,0,0,0,2,2,1,8.2
69,18914,Mike Williams,LAC,WR,13,0,0,0,0,0,1,10,1,8.0
70,23481,Velus Jones Jr.,CHI,WR,12,0,0,0,0,0,1,9,1,7.9
71,13291,Julio Jones,TB,WR,10,0,0,0,0,0,1,8,1,7.8
72,21735,Gabe Davis,BUF,WR,15,0,0,0,0,0,1,8,1,7.8
73,19961,Ray-Ray McCloud,SF,WR,17,0,0,0,0,0,1,8,1,7.8
74,18047,Demarcus Robinson,BAL,WR,17,0,0,0,0,0,1,6,1,7.6
75,16568,Brandin Cooks,HOU,WR,13,0,0,0,0,0,1,6,1,7.6
76,14986,DeAndre Hopkins,ARI,WR,9,0,0,0,0,0,1,6,1,7.6
77,21756,Nico Collins,HOU,WR,10,0,0,0,0,0,1,6,1,7.6
78,19854,Dante Pettis,CHI,WR,17,0,0,0,0,0,1,6,1,7.6
79,21045,Marquise Brown,ARI,WR,12,0,0,0,0,0,1,6,1,7.6
80,16855,Ty Montgomery II,NE,WR,1,0,0,0,0,0,1,6,1,7.6
81,22572,Dax Milne,WAS,WR,15,0,0,0,0,0,1,6,1,7.6
82,19800,Courtland Sutton,DEN,WR,15,0,0,0,0,0,1,5,1,7.5
83,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,1,5,1,7.5
84,23170,Wan'Dale Robinson,NYG,WR,6,0,0,0,0,0,1,5,1,7.5
85,19318,Kendrick Bourne,NE,WR,16,0,0,0,0,0,1,5,1,7.5
86,21750,Marquez Callaway,NO,WR,14,0,0,0,0,0,1,4,1,7.4
87,19976,Marquez Valdes-Scantling,KC,WR,17,0,0,0,0,0,1,4,1,7.4
88,20150,Byron Pringle,CHI,WR,11,0,0,0,0,0,1,4,1,7.4
89,19922,Justin Watson,KC,WR,17,0,0,0,0,0,1,4,1,7.4
90,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,1,3,1,7.3
91,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,1,2,1,7.2
92,19755,River Cracraft,MIA,WR,11,0,0,0,0,0,1,2,1,7.2
93,21686,Jalen Reagor,MIN,WR,17,0,0,0,0,0,1,1,1,7.1
94,23763,Brandon Johnson,DEN,WR,7,0,0,0,0,0,1,1,1,7.1
95,19816,DJ Chark,DET,WR,11,0,0,0,0,0,1,1,1,7.1
96,21077,Diontae Johnson,PIT,WR,17,0,0,0,0,0,2,8,0,6.8
97,20038,Braxton Berrios,NYJ,WR,17,2,1,0,0,0,1,1,0,5.2
98,22213,Kendall Hinton,DEN,WR,12,0,0,0,0,0,2,8,0,2.8
