rank,id,player,team,pos,gp,redzone_pass_yds,redzone_pass_td,redzone_pass_int,redzone_rush_yds,redzone_rush_td,redzone_rec,redzone_rec_yds,redzone_rec_td,redzone_fpts_ppr
1,21685,Justin Jefferson,MIN,WR,17,0,0,0,3,1,16,121,6,72.4
2,19815,Christian Kirk,JAX,WR,17,0,0,0,0,0,13,98,7,64.8
3,16906,Stefon Diggs,BUF,WR,16,0,0,0,0,0,11,91,7,62.1
4,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,12,0,13,98,6,60.0
5,22564,Ja'Marr Chase,CIN,WR,12,0,0,0,-1,0,15,131,5,58.0
6,15534,Adam Thielen,MIN,WR,17,0,0,0,0,0,15,83,5,55.3
7,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,10,75,6,53.5
8,20006,Russell Gage,TB,WR,13,0,0,0,0,0,12,76,5,51.6
9,21679,CeeDee Lamb,DAL,WR,17,0,0,0,6,0,11,95,5,51.1
10,16765,Amari Cooper,CLE,WR,17,0,0,0,0,0,7,66,6,49.6
11,23395,Christian Watson,GB,WR,14,0,0,0,25,1,9,55,4,47.0
12,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,10,70,5,47.0
13,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,9,69,5,45.9
14,18882,Cooper Kupp,LAR,WR,9,0,0,0,20,1,8,56,4,45.6
15,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,8,74,5,45.4
16,23155,Jahan Dotson,WAS,WR,12,0,0,0,0,0,6,55,5,43.5
17,20788,Mecole Hardman Jr.,KC,WR,8,0,0,0,3,1,8,52,4,43.5
18,21692,Jerry Jeudy,DEN,WR,15,0,0,0,0,0,7,59,5,42.9
19,17986,Tyler Boyd,CIN,WR,16,0,0,0,0,0,9,72,4,42.2
20,18926,Zay Jones,JAX,WR,16,0,0,0,7,0,9,60,4,41.7
21,19844,DJ Moore,CAR,WR,17,0,0,0,1,0,6,56,5,41.7
22,18914,Mike Williams,LAC,WR,13,0,0,0,0,0,9,83,4,41.3
23,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,2,1,6,50,4,41.2
24,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,10,70,4,41.0
25,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,8,82,4,40.2
26,21690,Tee Higgins,CIN,WR,16,0,0,0,0,0,7,63,4,39.3
27,16470,Davante Adams,LV,WR,17,0,0,0,0,0,10,39,4,37.9
28,23151,Drake London,ATL,WR,17,0,0,0,0,0,8,59,4,37.9
29,18928,Curtis Samuel,WAS,WR,17,0,0,0,26,1,6,47,3,37.3
30,21714,K.J. Osborn,MIN,WR,17,0,0,0,0,0,8,50,4,37.0
31,18880,Chris Godwin,TB,WR,15,0,0,0,3,0,10,65,3,36.8
32,20077,Richie James,NYG,WR,17,0,0,0,0,0,7,55,4,36.5
33,19867,Michael Gallup,DAL,WR,14,0,0,0,0,0,7,52,4,36.2
34,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,10,80,3,36.0
35,21760,Isaiah Hodgins,NYG,WR,10,0,0,0,0,0,6,35,4,35.5
36,18082,Tyreek Hill,MIA,WR,17,0,0,0,1,1,6,42,3,34.3
37,15076,Keenan Allen,LAC,WR,10,0,0,0,0,0,10,60,3,34.0
38,21735,Gabe Davis,BUF,WR,15,0,0,0,0,0,7,79,3,32.9
39,19080,Noah Brown,DAL,WR,16,0,0,0,0,0,9,76,3,32.6
40,22598,Jaylen Waddle,MIA,WR,17,0,0,0,0,0,4,36,4,31.6
41,20932,Deebo Samuel Sr.,SF,WR,13,0,0,0,29,2,8,46,1,31.5
42,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,7,63,3,31.3
43,13870,Marvin Jones Jr.,JAX,WR,16,0,0,0,0,0,6,66,3,30.6
44,16568,Brandin Cooks,HOU,WR,13,0,0,0,0,0,7,54,3,30.4
45,19044,Jamal Agnew,JAX,WR,15,0,0,0,27,0,5,26,3,30.3
46,22614,Kadarius Toney,KC,WR,9,0,0,0,25,1,6,26,2,29.1
47,21721,Devin Duvernay,BAL,WR,14,0,0,0,24,1,5,36,2,29.0
48,16597,Mike Evans,TB,WR,15,0,0,0,0,0,7,40,3,29.0
49,19017,Josh Reynolds,DET,WR,14,0,0,0,0,0,6,34,3,27.4
50,22565,Chris Olave,NO,WR,15,0,0,0,0,0,7,63,2,27.3
51,20876,Jakobi Meyers,NE,WR,14,0,0,0,0,0,5,22,3,27.2
52,23122,Garrett Wilson,NYJ,WR,17,0,0,0,7,0,5,35,3,27.2
53,16263,Allen Robinson II,LAR,WR,10,0,0,0,0,0,5,33,3,26.3
54,14871,Robert Woods,TEN,WR,17,0,0,0,0,0,8,61,2,26.1
55,21754,Donovan Peoples-Jones,CLE,WR,17,0,0,0,0,0,5,24,3,25.4
56,18883,JuJu Smith-Schuster,KC,WR,16,0,0,0,0,0,12,73,1,25.3
57,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,4,33,3,25.3
58,23469,Tyquan Thornton,NE,WR,13,0,0,0,18,1,3,17,2,24.5
59,23153,George Pickens,PIT,WR,17,0,0,0,1,1,2,21,2,24.2
60,17960,Michael Thomas,NO,WR,3,0,0,0,0,0,3,19,3,22.9
61,21961,Darnell Mooney,CHI,WR,12,0,0,0,2,0,5,51,2,22.3
62,20038,Braxton Berrios,NYJ,WR,17,2,1,0,35,2,2,7,0,22.3
63,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,6,41,2,22.1
64,19800,Courtland Sutton,DEN,WR,15,0,0,0,0,0,5,50,2,22.0
65,19023,Mack Hollins,LV,WR,17,0,0,0,0,0,6,39,2,21.9
66,14865,Marquise Goodwin,SEA,WR,13,0,0,0,0,0,4,47,2,20.7
67,18030,Chris Moore,HOU,WR,16,0,0,0,0,0,5,33,2,20.3
68,22613,Joshua Palmer,LAC,WR,16,0,0,0,0,0,4,20,2,20.0
69,18047,Demarcus Robinson,BAL,WR,17,0,0,0,0,0,4,28,2,18.8
70,21071,Greg Dortch,ARI,WR,16,0,0,0,12,0,4,15,2,18.7
