rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
1,11056,Antonio Brown,TB,WR,7,268,38.3,.30,0.4,.00,23.1,.09,16.0,23.5,121.1,45.2
2,18882,Cooper Kupp,LAR,WR,17,1024,60.2,.94,0.4,.01,18.7,.31,14.6,19.1,439.5,42.9
3,20932,Deebo Samuel Sr.,SF,WR,16,829,51.8,.76,7.1,.12,14.6,.24,16.6,22.0,339.0,40.9
4,16470,Davante Adams,GB,WR,16,886,55.4,.79,0.0,.00,19.1,.30,13.9,19.1,344.3,38.9
5,21163,Deonte Harty,NO,WR,13,298,22.9,.31,1.7,.01,19.8,.12,13.8,21.5,113.1,38.0
6,9906,Danny Amendola,HOU,WR,8,191,23.9,.22,0.0,.00,19.4,.07,13.1,19.9,68.8,36.0
7,18896,Cyril Grayson Jr.,TB,WR,5,127,25.4,.38,0.8,.00,9.4,.02,8.7,10.2,44.6,35.1
8,18082,Tyreek Hill,KC,WR,17,867,51.0,.73,1.0,.02,18.3,.25,13.8,19.4,296.5,34.2
9,20924,Hunter Renfrow,LV,WR,17,758,44.6,.66,0.4,.01,16.9,.21,14.0,17.3,259.1,34.2
10,21685,Justin Jefferson,MIN,WR,17,1014,59.6,.89,0.6,.01,16.5,.29,11.6,17.5,330.4,32.6
11,22564,Ja'Marr Chase,CIN,WR,17,940,55.3,.85,0.7,.02,13.6,.24,9.4,14.4,304.6,32.4
12,19318,Kendrick Bourne,NE,WR,17,572,33.6,.52,2.1,.02,12.2,.13,11.9,14.5,180.5,31.6
13,19854,Dante Pettis,NYG,WR,3,82,27.3,.40,0.0,.00,19.5,.03,13.4,20.7,25.3,30.9
14,21690,Tee Higgins,CIN,WR,14,711,50.8,.65,0.0,.00,15.5,.20,10.4,15.5,219.1,30.8
15,22417,Kristian Wilkerson,NE,WR,3,67,22.3,.34,0.0,.00,11.9,.02,6.0,11.9,20.2,30.1
16,20875,DK Metcalf,SEA,WR,17,820,48.2,.83,0.1,.00,15.7,.27,9.3,15.9,244.3,29.8
17,21042,A.J. Brown,TEN,WR,13,604,46.5,.62,0.3,.00,17.4,.21,11.1,18.0,180.9,29.8
18,16830,Tyler Lockett,SEA,WR,16,813,50.8,.82,0.2,.00,13.2,.22,9.2,13.4,241.4,29.7
19,20038,Braxton Berrios,NYJ,WR,16,390,24.4,.37,1.8,.02,16.7,.11,13.6,18.5,115.1,29.5
