rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
1,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,36,628,7,0,0,0,0,8.3,140.8
2,16568,Brandin Cooks,HOU,WR,16,0,0,0,0,0,29,459,5,0,0,0,0,6.6,104.9
3,16597,Mike Evans,TB,WR,16,0,0,0,0,0,21,312,7,0,0,0,0,5.9,94.2
4,18082,Tyreek Hill,KC,WR,17,0,0,0,0,0,31,448,3,0,0,0,0,5.5,93.8
5,18882,Cooper Kupp,LAR,WR,17,0,0,0,-5,0,31,506,2,0,0,0,0,5.5,93.1
6,21077,Diontae Johnson,PIT,WR,16,0,0,0,0,0,32,409,3,0,0,0,0,5.7,90.9
7,16470,Davante Adams,GB,WR,16,0,0,0,0,0,31,404,3,0,0,0,0,5.6,89.4
8,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,-2,0,24,452,3,0,0,0,0,5.1,87.0
9,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,31,414,2,0,0,0,0,5.3,84.4
10,20924,Hunter Renfrow,LV,WR,17,0,0,0,0,0,33,333,3,0,0,0,0,4.8,82.3
11,16906,Stefon Diggs,BUF,WR,17,0,0,0,0,0,23,277,5,0,0,0,0,4.7,80.7
12,22598,Jaylen Waddle,MIA,WR,16,0,0,0,0,0,32,277,3,0,0,0,0,4.9,77.7
13,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,0,0,25,376,2,0,0,0,0,4.4,74.6
14,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,50,1,25,234,2,0,0,0,0,4.2,71.4
15,21750,Marquez Callaway,NO,WR,17,0,0,0,0,0,17,260,4,0,0,0,0,3.9,67.0
16,19844,DJ Moore,CAR,WR,17,0,0,0,14,0,24,331,1,0,0,0,0,3.8,64.5
17,20013,Cedrick Wilson Jr.,DAL,WR,16,0,0,0,0,0,16,293,3,0,0,0,0,4.0,63.3
18,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,15,299,3,0,0,0,0,3.9,62.9
19,19815,Christian Kirk,ARI,WR,17,0,0,0,0,0,15,232,4,0,0,0,0,3.7,62.2
20,12845,A.J. Green,ARI,WR,16,0,0,0,0,0,15,410,1,0,0,0,0,3.9,62.0
21,20932,Deebo Samuel Sr.,SF,WR,16,0,0,0,29,1,18,331,1,0,0,0,0,3.9,62.0
22,17986,Tyler Boyd,CIN,WR,16,0,0,0,0,0,22,275,2,0,0,0,0,3.8,61.5
23,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,13,305,3,0,0,0,0,3.8,61.5
